K02_V005,23358
K02_V022,23151
K16_V015,19341
L21_V023,30186
K12_V028,20768
K11_V021,30881
K12_V028,20780
K15_V009,27882
K09_V006,33365
K14_V003,23700
K16_V015,12668
K10_V015,12461
L25_V027,2102
K02_V005,23403
K02_V005,23070
K02_V003,29783
K08_V017,17805
K02_V016,25034
K16_V015,19101
K02_V005,23596
K02_V017,20739
K16_V015,19401
K10_V022,16759
K14_V011,15053
K13_V011,28869
K08_V001,13991
K11_V027,930
K14_V012,14169
K18_V023,22130
K02_V019,21304
K03_V009,12160
K10_V028,17775
L25_V082,3121
L25_V010,1471
L25_V046,1955
K09_V006,34035
L25_V006,26651
L25_V055,23375
K03_V021,19659
L25_V050,5164
L25_V062,6543
L25_V041,34295
L25_V001,38652
K10_V028,17625
K17_V012,30429
K10_V028,17403
K10_V014,22181
K01_V005,16873
L25_V007,66955
L25_V068,6229
L25_V051,863
K14_V012,14311
K10_V014,22230
K15_V025,17100
K08_V020,15300
K17_V013,33555
L25_V018,40147
L25_V026,7440
K10_V025,22749
L25_V086,13838
K20_V019,19227
L22_V028,15357
K07_V014,25980
K09_V006,34164
K11_V027,27803
L25_V019,20316
K01_V022,731
K08_V006,22980
K03_V009,12180
K02_V019,20959
K02_V023,25314
K12_V010,18659
K17_V013,34130
K02_V023,26010
K02_V018,25032
K15_V023,23298
K11_V028,25632
K02_V023,18933
K02_V008,27021
K02_V020,14790
K17_V008,26817
K02_V023,25374
K02_V021,19410
K12_V016,20084
K11_V002,24837
K02_V020,14940
K07_V014,23480
K01_V011,9750
K14_V011,16297
K02_V023,26040
K12_V011,17094
K10_V008,19108
K13_V011,29391
K02_V017,21666
K03_V009,19685
K02_V023,24531
K02_V003,30821
K13_V026,21548
K02_V016,26091
K02_V020,13213
