L25_V058,21899,6
L25_V048,28799,6
L25_V048,29099,6
L25_V058,36450,6
L25_V058,37350,6
L25_V077,29620,6
L25_V077,29920,6
L25_V077,29770,6
L25_V058,37499,6
L25_V077,28420,6
L25_V077,29170,6
L25_V077,28720,6
L25_V077,28870,6
L25_V077,29020,6
L25_V077,28570,6
L25_V039,40350,6
L25_V058,38550,6
L25_V058,36899,6
L25_V022,30299,6
L25_V058,36750,6
L25_V022,30149,6
L25_V058,36299,6
L25_V058,36599,6
L25_V040,11445,6
L25_V022,30450,6
L25_V058,37199,6
L25_V077,30820,6
L25_V058,37050,6
L25_V031,19028,6
L25_V077,29470,6
L25_V022,39150,6
L25_V022,44099,6
L25_V077,29320,6
L25_V039,40499,6
L25_V077,27970,6
L25_V077,28270,6
L25_V077,28120,6
L25_V077,27820,6
L25_V008,13199,6
L25_V022,30599,6
L25_V022,38850,6
L25_V022,38699,6
L25_V058,38099,6
L25_V022,31499,6
L25_V058,37950,6
L25_V058,37650,6
L25_V022,38999,6
L25_V058,37799,6
L25_V022,31050,6
L25_V022,31199,6
L25_V022,30750,6
L25_V022,31350,6
L25_V022,30899,6
L25_V004,22799,6
L25_V058,38399,6
L25_V005,54299,6
L25_V058,38250,6
L25_V040,11399,6
L25_V040,11099,6
L25_V077,30070,6
L25_V004,23099,6
L25_V004,22349,6
L25_V039,40199,6
L25_V004,22499,6
L25_V077,23882,6
L25_V077,24182,6
L25_V077,24632,6
L25_V077,25832,6
L25_V077,25382,6
L25_V077,24932,6
L25_V077,24782,6
L25_V077,25682,6
L25_V077,24332,6
L25_V077,25532,6
L25_V077,25232,6
L25_V077,25082,6
L25_V077,24032,6
L25_V077,24482,6
L25_V022,44250,6
L25_V088,12206,6
L25_V022,45299,6
L25_V085,37119,6
L25_V022,45150,6
L25_V085,37268,6
L25_V085,37719,6
L25_V066,9449,6
L25_V004,23249,6
L25_V077,30370,6
L25_V077,30520,6
L25_V077,30220,6
L25_V048,28687,6
L25_V022,39599,6
L25_V022,39750,6
L25_V022,32699,6
L25_V022,39299,6
L25_V005,56099,6
L25_V085,37419,6
L25_V085,37568,6
L25_V085,36968,6
L25_V049,13649,6
