K07_V030,22422
K10_V009,21330
K06_V029,19317
K04_V015,16421
K08_V004,14078
K08_V017,9093
K06_V029,19167
K08_V017,9327
K07_V030,22236
K10_V009,21420
K10_V009,21415
K06_V025,13274
K09_V002,30916
K10_V011,15615
K06_V005,22427
K03_V029,29757
K05_V015,15546
L22_V014,31220
K07_V012,6252
K08_V015,13496
K12_V003,4135
K07_V003,26875
K12_V003,3939
K06_V023,20252
K11_V022,10457
L22_V014,31502
K03_V020,18420
K03_V029,29956
K09_V027,31878
K06_V014,16778
K06_V014,16830
K08_V023,16301
K06_V025,13154
K06_V025,13094
K03_V002,20730
K07_V001,27660
K06_V026,20148
K08_V014,9450
K07_V031,5400
K07_V012,6494
K07_V003,26770
K08_V004,17378
K08_V023,16251
L21_V023,2979
K08_V019,20346
K11_V022,10866
K07_V024,17342
K06_V007,12957
K06_V022,22802
K02_V028,22653
K05_V016,19259
K10_V011,15695
K05_V016,21813
K08_V009,8804
K08_V028,18793
K06_V021,3600
K06_V007,12510
K06_V022,9251
K06_V007,12349
K08_V011,17442
K06_V014,14703
K10_V024,19902
K01_V028,21753
K12_V015,16825
K13_V014,20259
L21_V010,2395
K04_V005,4212
K08_V003,14597
K19_V011,22488
K08_V005,13950
K10_V019,4790
K07_V018,18954
K09_V027,31788
K18_V004,22275
K05_V008,8953
K16_V011,23210
K07_V029,26357
K15_V010,7050
K06_V022,17793
K17_V026,28160
K05_V031,26222
K05_V007,26250
K03_V028,23370
K13_V017,27134
K04_V017,24600
K08_V009,8859
K12_V007,23390
K08_V025,14211
K09_V011,31299
K11_V018,29691
K06_V026,19955
K08_V005,13929
K08_V009,19452
K10_V021,7125
K13_V007,2430
K05_V002,21342
K08_V025,14451
K08_V001,1789
K10_V021,6858
K06_V016,18401
