K05_V018,15698
K05_V018,19365
K05_V018,18506
K05_V018,18356
K05_V018,19553
K05_V018,19193
K11_V010,11007
K05_V018,19163
K05_V018,19275
K06_V027,12188
L28_V018,9784
K15_V030,9237
K10_V018,25163
K20_V006,15915
K20_V006,16310
K05_V018,18678
K05_V026,4098
L30_V069,2145
K06_V027,12925
K04_V001,16011
K06_V027,12645
K17_V003,8856
K11_V010,785
K06_V027,11961
K05_V018,18476
K15_V004,20982
K20_V027,25989
K10_V018,23919
K18_V024,5981
L30_V069,694
L21_V002,26511
K06_V027,12543
K06_V027,12490
K06_V027,12510
K02_V025,30540
K15_V011,20869
L30_V069,3012
K16_V003,15301
K10_V018,24263
L28_V018,8219
L30_V069,2217
K11_V010,11537
K19_V019,29789
K06_V027,11970
L30_V069,1255
K19_V023,15852
K02_V024,17756
K05_V005,23733
K14_V020,15821
K03_V014,2760
K19_V017,37274
K13_V013,1685
K11_V029,20751
K06_V029,3521
K14_V019,31830
L28_V003,18900
K04_V008,7709
K13_V018,531
K15_V009,24492
K16_V003,10853
K14_V003,8715
L29_V023,4185
L22_V009,18609
K15_V029,23676
K10_V028,8868
L21_V005,3060
K11_V011,3942
K06_V006,15480
K13_V013,1962
K20_V014,22116
K15_V007,9770
K15_V011,20340
K12_V012,15399
K06_V027,12993
K05_V006,29892
K06_V031,2100
L28_V018,9848
L27_V003,11070
L30_V069,2992
K13_V002,432
K18_V017,17333
K15_V011,20988
K19_V014,23576
L28_V009,6067
K15_V011,20291
K20_V027,25068
K19_V023,29990
K15_V004,21162
K19_V023,17000
K02_V009,6978
K20_V029,17667
L21_V013,31242
L24_V027,12008
K18_V024,5750
K13_V001,24411
K03_V027,26358
K04_V021,18609
K11_V025,3797
K05_V006,28311
L24_V038,11247
