L30_V091,885,885,885,885
L30_V003,952,952,952,952
K04_V004,9263,9263,9263,9263
K11_V005,4887,4887,4887,4887
K12_V012,21516,21516,21516,21516
K19_V015,11382,11382,11382,11382
L25_V074,53149,53149,53149,53149
L25_V078,21562,21562,21562,21562
L29_V002,21465,21465,21465,21465
L25_V061,13489,13489,13489,13489
K02_V004,7940,7940,7940,7940
K10_V016,9002,9002,9002,9002
L25_V005,26918,26918,26918,26918
L30_V031,1024,1024,1024,1024
L25_V056,18000,18000,18000,18000
L25_V002,15300,15300,15300,15300
L25_V018,23250,23250,23250,23250
